Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster
United States,N,N,N,Media,1912,Relation,-10,The Ghost
Canada,Y,N,N,Automotive,1956,Founder,24,The Consistent
United States,N,Y,Y,Media,NA,NA,NA,The Ghost
Argentina,Y,N,N,Energy,1968,Relation,32,The Consistent
United States,Y,Y,N,Technology,NA,NA,NA,The Ghost
United States,Y,N,N,Retail,NA,NA,NA,The Ghost
Brazil,Y,Y,N,Construction and Engineering,1944,Founder,11,The Hustler
India,N,N,N,Health care,1935,Relation,-2,The Consistent
Portugal,Y,Y,Y,Diversified,NA,NA,NA,The Consistent
India,Y,Y,N,Diversified,NA,NA,NA,The Ghost
Australia,Y,N,N,Health care,1964,Founder,29,The Hustler
United States,N,Y,N,Finance,1922,Relation,-18,The Hustler
United States,Y,Y,N,Logistics,1965,NA,26,The Hustler
Brazil,Y,Y,N,Retail,1975,Founder,35,The Consistent
United States,Y,N,N,Investments,1974,Founder,40,The Ghost
United States,N,N,N,Gaming,NA,NA,NA,The Ghost
United States,N,N,N,Other,1947,Relation,15,The Ghost
United States,Y,Y,Y,Finance,1977,NA,35,The Hustler
United States,Y,N,N,Investments,2005,Founder,63,The Consistent
United Kingdom,N,N,N,Energy,1912,NA,-31,The Consistent
Hong Kong,Y,N,N,Diversified,NA,NA,NA,The Consistent
Taiwan,Y,N,N,Real Estate,1969,NA,26,The Consistent
Taiwan,N,N,N,Diversified,1940,NA,-3,The Hustler
Japan,Y,N,N,Retail,NA,NA,NA,The Hustler
Brazil,N,Y,Y,Finance,1945,NA,-1,The Hustler
Italy,N,N,N,Energy,1962,Relation,16,The Consistent
Monaco,N,N,N,Retail,1960,NA,14,The Consistent
China,Y,N,N,Metals and Mining,1975,Chairman,29,The Consistent
South Africa,N,Y,N,Metals and Mining,1928,Relation,-15,The Hustler
India,N,N,Y,Health care,NA,NA,NA,The Ghost
India,Y,Y,N,Construction and Engineering,NA,NA,NA,The Ghost
Thailand,Y,N,N,Investments,NA,NA,NA,The Consistent
France,Y,N,N,Real Estate,1994,Founder,47,The Consistent
Hong Kong,N,Y,Y,Service,1906,Relation,-43,The Consistent
United States,Y,N,N,Retail,NA,NA,NA,The Ghost
Turkey,N,Y,N,Diversified,NA,Relation,NA,The Consistent
United States,Y,Y,Y,Technology,1979,NA,30,The Consistent
Indonesia,Y,N,N,Diversified,1973,NA,24,The Consistent
China,Y,N,N,Health care,1992,Founder,43,The Consistent
Japan,Y,Y,N,Fashion and Retail,NA,NA,NA,The Consistent
Brazil,N,N,N,Construction and Engineering,1948,NA,0,The Hustler
South Korea,Y,N,N,Service,1985,NA,35,The Consistent
United States,N,Y,N,Construction and Engineering,1941,Relation,-10,The Hustler
United States,Y,N,N,Investments,NA,NA,NA,The Consistent
Philippines,N,N,N,Energy,NA,NA,NA,The Consistent
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Ghost
Brazil,Y,Y,N,Retail,1969,Chairman,19,The Hustler
United States,Y,Y,Y,Investments,NA,NA,NA,The Ghost
United States,Y,Y,Y,Finance,1988,Chairman,38,The Hustler
China,Y,N,N,Energy,NA,NA,NA,The Hustler
United States,N,Y,Y,Fashion and Retail,1969,Relation,15,The Consistent
China,Y,N,N,Agriculture,NA,NA,NA,The Hustler
United States,Y,Y,N,Energy,1983,Founder,30,The Consistent
Netherlands,Y,N,N,Media,1994,NA,40,The Consistent
Turkey,N,N,N,Diversified,NA,NA,NA,The Consistent
Germany,N,Y,N,Finance,1904,Relation,-51,The Consistent
India,N,N,N,Food and Beverage,1960,NA,5,The Consistent
South Korea,N,Y,Y,Fashion and Retail,NA,NA,NA,The Consistent
Brazil,N,Y,N,Construction and Engineering,1945,Relation,-11,The Consistent
Taiwan,Y,Y,N,Technology,NA,NA,NA,The Ghost
United States,N,Y,Y,Retail,1969,Relation,11,The Hustler
United States,Y,Y,Y,Investments,1982,Founder,25,The Consistent
Singapore,Y,N,N,Real Estate,NA,NA,NA,The Consistent
Egypt,N,Y,N,Real Estate,NA,Relation,NA,The Hustler
China,Y,N,Y,Diversified,NA,NA,NA,The Ghost
Indonesia,Y,N,N,Manufacturing,1991,Founder,32,The Consistent
Morocco,N,N,Y,Energy,NA,Relation,NA,The Consistent
China,Y,N,N,Investments,NA,NA,NA,The Consistent
India,N,Y,N,Food and Beverage,NA,NA,NA,The Ghost
United Kingdom,Y,N,N,Finance,1997,NA,36,The Consistent
China,Y,N,N,Health care,2005,Founder,43,The Consistent
China,Y,N,N,Energy,1996,NA,35,The Consistent
United States,Y,N,N,Real Estate,NA,NA,NA,The Consistent
Russia,Y,Y,N,Manufacturing,NA,Founder,NA,The Hustler
China,Y,N,Y,Real Estate,NA,NA,NA,The Hustler
Brazil,Y,N,N,Manufacturing,1995,Founder,33,The Hustler
China,Y,N,N,Real Estate,NA,NA,NA,The Hustler
Russia,Y,Y,N,Finance,1991,Founder,31,The Hustler
Switzerland,N,N,N,Finance,1953,Relation,-11,The Consistent
United Kingdom,Y,N,N,Telecom,1989,Founder,26,The Hustler
Peru,N,Y,N,Metals and Mining,NA,Relation,NA,The Hustler
China,Y,N,N,Manufacturing,1999,Founder,36,The Consistent
United States,N,Y,N,Real Estate,NA,NA,NA,The Ghost
United States,N,Y,Y,Finance,NA,NA,NA,The Ghost
China,N,Y,N,Manufacturing,NA,NA,NA,The Consistent
China,Y,Y,N,Software,1988,Chairman,23,The Hustler
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost
United Kingdom,Y,N,N,Real Estate,2007,Founder,44,The Hustler
United States,Y,Y,N,Finance,1996,Founder,28,The Consistent
Hong Kong,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
Russia,Y,Y,N,Retail,NA,NA,NA,The Ghost
Indonesia,N,N,N,Metals and Mining,NA,NA,NA,The Ghost
India,N,Y,N,Real Estate,NA,NA,NA,The Hustler
China,Y,N,N,Software,2005,Founder,35,The Consistent
Russia,Y,Y,N,Manufacturing,2004,Founder,36,The Hustler
Russia,Y,Y,N,Finance,NA,Founder,NA,The Hustler
Kazakhstan,Y,N,N,Finance,NA,NA,NA,The Ghost
South Korea,N,Y,N,Service,1938,Relation,-36,The Consistent
Spain,N,N,N,Retail,NA,NA,NA,The Hustler
Kuwait,Y,N,N,Finance,NA,NA,NA,The Ghost
Saudi Arabia,N,N,N,Diversified,NA,NA,NA,The Ghost
Peru,N,N,N,Diversified,NA,Relation,NA,The Consistent
Japan,Y,N,N,Retail,NA,NA,NA,The Hustler
United States,N,Y,N,Diversified,1946,Relation,18,The Consistent
United States,N,N,N,Retail,1973,Founder,53,The Ghost
Japan,Y,N,N,Finance,NA,Founder,NA,The Hustler
Canada,Y,N,N,Diversified,NA,NA,NA,The Consistent
India,N,Y,N,Automotive,1969,Founder,39,The Consistent
United States,Y,N,N,Manufacturing,1955,NA,23,The Consistent
Taiwan,Y,N,N,Technology,1971,Founder,36,The Consistent
Canada,Y,Y,N,Energy,1978,NA,41,The Hustler
United States,Y,N,N,Media,1977,CEO/Chairman,48,The Ghost
United States,N,Y,N,Finance,NA,NA,NA,The Ghost
Turkey,Y,N,N,Energy,NA,NA,NA,The Ghost
Spain,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Italy,N,N,N,Construction and Engineering,1936,Relation,0,The Hustler
Germany,Y,N,N,Software,1972,Founder,33,The Consistent
United Kingdom,Y,N,N,Real Estate,1971,Founder,30,The Consistent
United States,Y,Y,N,Real Estate,1980,Investor,38,The Consistent
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent
United States,N,N,N,Retail,NA,NA,NA,The Ghost
Australia,N,N,N,Metals and Mining,1955,Relation,10,The Hustler
Kuwait,N,Y,N,Diversified,1932,Relation,-14,The Hustler
Venezuela,N,Y,N,Media,1929,Relation,-17,The Consistent
United States,N,Y,N,Logistics,1906,Relation,-40,The Consistent
Russia,Y,Y,N,Investments,1989,CEO,43,The Hustler
Austria,Y,N,Y,Fashion and Retail,1976,NA,29,The Consistent
India,Y,N,N,Fashion and Retail,1993,NA,46,The Consistent
United States,Y,Y,N,Telecom,1988,Founder,41,The Consistent
Peru,Y,N,N,Retail,1967,Founder,22,The Hustler
Belgium,N,N,N,Retail,NA,NA,NA,The Hustler
Thailand,Y,N,N,Real Estate,1992,NA,43,The Consistent
Russia,Y,Y,N,Manufacturing,1925,NA,-25,The Consistent
Taiwan,Y,N,N,Retail,NA,NA,NA,The Consistent
Brazil,N,Y,N,Energy,NA,Chairman,NA,The Hustler
China,Y,N,N,Metals and Mining,NA,NA,NA,The Consistent
Netherlands,N,N,N,Retail,NA,NA,NA,The Hustler
Kuwait,N,Y,N,Diversified,1932,Relation,-20,The Hustler
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Consistent
United Kingdom,Y,N,N,Media,1974,NA,23,The Consistent
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost
Brazil,Y,Y,N,Diversified,2001,Founder,49,The Consistent
Russia,Y,Y,N,Metals and Mining,1992,Founder,39,The Consistent
United States,Y,Y,N,Health care,1988,NA,36,The Consistent
China,Y,N,N,Real Estate,1996,Founder,43,The Hustler
United States,Y,Y,N,Retail,1984,Founder,31,The Consistent
United States,N,N,N,Media,NA,Relation,NA,The Consistent
Brazil,Y,N,N,Investments,1988,Founder,35,The Consistent
Portugal,Y,N,N,Finance,NA,NA,NA,The Ghost
China,Y,N,N,Health care,1996,Founder,45,The Hustler
Turkey,Y,N,N,Diversified,NA,Relation,NA,The Consistent
United States,Y,Y,N,Energy,1997,Founder,40,The Hustler
Finland,N,N,N,Manufacturing,NA,Relation,NA,The Consistent
Canada,Y,N,N,Media,1984,Founder,25,The Consistent
United States,N,N,N,Service,1973,Relation,13,The Consistent
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
Russia,Y,N,N,Finance,NA,NA,NA,The Ghost
Ukraine,Y,N,N,Diversified,NA,Founder,NA,The Consistent
China,Y,N,N,Health care,2005,NA,44,The Consistent
Italy,Y,N,N,Fashion and Retail,1954,Founder,-8,The Consistent
China,Y,N,N,Service,2001,Founder,40,The Consistent
United States,Y,Y,Y,Investments,NA,NA,NA,The Ghost
China,Y,N,N,Manufacturing,1956,Chairman,-7,The Consistent
China,Y,N,Y,Health care,2001,NA,39,The Hustler
Finland,N,N,N,Manufacturing,NA,NA,NA,The Consistent
United Kingdom,Y,N,N,Finance,2002,Founder,39,The Consistent
Russia,Y,N,N,Metals and Mining,1934,Former Ceo,-30,The Hustler
China,Y,N,N,Health care,2001,Founder,37,The Consistent
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost
Russia,Y,N,Y,Diversified,NA,NA,NA,The Consistent
China,Y,N,N,Fashion and Retail,2005,NA,41,The Hustler
South Korea,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
India,N,Y,N,Construction and Engineering,NA,NA,NA,The Ghost
United States,Y,Y,Y,Finance,2005,Founder,39,The Consistent
United Kingdom,Y,N,N,Metals and Mining,1974,Leadership,6,The Consistent
Canada,Y,Y,N,Technology,NA,NA,NA,The Ghost
Russia,Y,N,Y,Diversified,NA,NA,NA,The Consistent
Russia,Y,Y,N,Logistics,NA,Founder,NA,The Hustler
United States,Y,Y,Y,Software,2004,Coo,34,The Consistent
Belize,Y,N,N,Retail,NA,NA,NA,The Ghost
China,Y,Y,N,Manufacturing,NA,NA,NA,The Ghost
United States,Y,N,N,Software,2006,Founder,34,The Consistent
China,Y,N,N,Energy,1997,Founder,28,The Hustler
China,N,N,N,Diversified,NA,NA,NA,The Ghost
United Kingdom,Y,N,N,Telecom,NA,NA,NA,The Ghost
Russia,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Russia,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Peru,N,N,N,Metals and Mining,NA,NA,NA,The Hustler
United States,N,N,N,Technology,2010,Founder,40,The Hustler
Germany,N,N,N,Technology,NA,NA,NA,The Consistent
Australia,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
Greece,Y,N,N,Logistics,NA,NA,NA,The Ghost
Kuwait,N,N,N,Diversified,1956,NA,NA,The Consistent
Kuwait,N,N,N,Diversified,1956,NA,NA,The Consistent
Canada,Y,Y,Y,Finance,1955,Founder,30,The Consistent
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,N,N,N,Food and Beverage,NA,NA,NA,The Hustler
Brazil,Y,N,N,Retail,NA,NA,NA,The Consistent
United States,N,N,N,Agriculture,NA,NA,NA,The Ghost
Brazil,Y,N,N,Manufacturing,1961,Founder,33,The Hustler
Brazil,Y,N,N,Manufacturing,1961,Founder,32,The Hustler
United States,Y,Y,N,Technology,1985,Founder,52,The Consistent
United States,N,N,N,Real Estate,NA,NA,NA,The Ghost
Spain,Y,N,N,Construction and Engineering,1960,Founder,26,The Consistent
Brazil,Y,N,N,Media,NA,NA,NA,The Ghost
India,Y,Y,N,Diversified,NA,NA,NA,The Ghost
Italy,N,N,N,Energy,1962,NA,25,The Consistent
Brazil,N,N,N,Finance,1943,Relation,5,The Consistent
Italy,N,N,N,Fashion and Retail,1884,NA,-54,The Consistent
Monaco,N,N,N,Finance,1955,Relation,17,The Consistent
United States,Y,Y,N,Sports,NA,NA,NA,The Ghost
Brazil,N,N,N,Manufacturing,1961,Relation,26,The Hustler
United States,N,N,N,Media,1923,Relation,-7,The Ghost
Italy,N,N,N,Fashion and Retail,1884,NA,-57,The Consistent
United States,N,Y,N,Energy,NA,Relation,NA,The Consistent
United States,N,N,N,Retail,1869,Relation,-66,The Ghost
United States,Y,Y,N,Real Estate,1997,Founder,59,The Ghost
United States,N,Y,Y,Logistics,1935,Relation,-1,The Ghost
India,N,N,N,Health care,NA,NA,NA,The Hustler
Brazil,Y,N,N,Fashion and Retail,1969,NA,27,The Consistent
Netherlands,Y,N,N,Media,1993,Founder,52,The Hustler
United States,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Switzerland,N,N,N,Automotive,NA,NA,NA,The Consistent
South Korea,N,Y,N,Retail,NA,NA,NA,The Consistent
United States,N,N,N,Finance,NA,NA,NA,The Ghost
United States,N,N,N,Technology,1979,Founder,44,The Ghost
Turkey,Y,N,N,Diversified,1953,NA,8,The Consistent
United States,Y,Y,N,Health care,1976,Founder,31,The Consistent
United States,Y,Y,N,Sports,1952,Relation,6,The Hustler
Australia,Y,N,N,Real Estate,1972,Founder,27,The Consistent
United States,N,Y,Y,Retail,NA,NA,NA,The Ghost
United States,N,N,N,Energy,NA,NA,NA,The Ghost
Austria,N,N,N,Retail,1895,Relation,-49,The Hustler
Spain,N,N,N,Retail,NA,NA,NA,The Consistent
Hong Kong,Y,N,N,Health care,NA,NA,NA,The Ghost
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Ghost
China,Y,N,Y,Manufacturing,NA,NA,NA,The Hustler
Indonesia,Y,N,N,Retail,NA,NA,NA,The Consistent
Brazil,Y,Y,N,Real Estate,1966,Founder,20,The Hustler
United States,Y,N,N,Finance,NA,NA,NA,The Ghost
United Kingdom,Y,Y,N,Retail,NA,NA,NA,The Ghost
Germany,N,N,N,Food and Beverage,NA,NA,NA,The Consistent
United States,Y,Y,N,Metals and Mining,NA,NA,NA,The Hustler
Hong Kong,Y,Y,N,Manufacturing,1976,NA,26,The Consistent
Italy,N,Y,N,Fashion and Retail,1924,NA,-28,The Consistent
United States,Y,N,N,Energy,2002,Founder,51,The Consistent
Mexico,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost
Israel,Y,Y,N,Health care,1983,NA,31,The Consistent
United States,Y,N,N,Manufacturing,NA,Founder,NA,The Consistent
United States,N,Y,N,Finance,NA,NA,NA,The Ghost
China,Y,N,N,Health care,1985,NA,32,The Consistent
South Korea,N,Y,Y,Fashion and Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost
Chile,N,N,N,Diversified,NA,Relation,NA,The Consistent
Russia,Y,N,N,Energy,1993,NA,38,The Hustler
Nepal,N,N,N,Diversified,1970,NA,14,The Consistent
Russia,Y,N,N,Energy,1995,NA,40,The Consistent
India,Y,N,N,Finance,NA,NA,NA,The Ghost
Taiwan,Y,N,N,Food and Beverage,NA,Founder,NA,The Consistent
United States,Y,N,N,Energy,2002,Founder,46,The Consistent
United States,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
United States,Y,N,N,Finance,NA,NA,NA,The Ghost
United States,Y,Y,N,Software,1985,CEO/Chairman,26,The Consistent
Russia,Y,Y,N,Real Estate,2010,Founder,51,The Consistent
Thailand,Y,N,N,Real Estate,1993,Founder,35,The Consistent
Taiwan,N,N,N,Food and Beverage,NA,Founder,NA,The Consistent
India,Y,N,N,Automotive,NA,NA,NA,The Ghost
United Kingdom,Y,N,N,Finance,NA,NA,NA,The Ghost
United States,Y,N,N,Service,1982,Founder,23,The Hustler
United Kingdom,Y,N,N,Finance,NA,NA,NA,The Ghost
China,Y,Y,N,Real Estate,NA,NA,NA,The Ghost
Sweden,Y,Y,Y,Finance,1988,Founder,28,The Consistent
China,Y,N,Y,Health care,NA,NA,NA,The Ghost
Russia,Y,Y,N,Metals and Mining,NA,Founder,NA,The Hustler
Russia,Y,Y,N,Construction and Engineering,1999,Founder,36,The Consistent
China,Y,N,N,Real Estate,1997,Chairman,33,The Consistent
United States,Y,Y,Y,Energy,NA,NA,NA,The Consistent
China,Y,N,Y,Diversified,NA,NA,NA,The Consistent
Czech Republic,Y,N,N,Metals and Mining,1995,Investor,30,The Consistent
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
China,Y,N,N,Metals and Mining,1993,Founder,29,The Hustler
United States,Y,Y,Y,Software,1965,NA,-1,The Consistent
United States,Y,Y,Y,Finance,NA,NA,NA,The Ghost
China,Y,Y,N,Real Estate,NA,NA,NA,The Ghost
South Korea,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost
Russia,Y,Y,N,Finance,NA,Founder,NA,The Consistent
United States,N,Y,N,Finance,NA,NA,NA,The Ghost
Russia,Y,N,N,Energy,1990,Founder,25,The Hustler
China,Y,Y,Y,Food and Beverage,1995,NA,27,The Consistent
China,Y,N,Y,Medicine,1998,Founder,29,The Consistent
Turkey,Y,N,N,Logistics,1998,Founder,30,The Hustler
Russia,Y,Y,N,Construction and Engineering,1993,Founder,22,The Hustler
Russia,Y,Y,N,Manufacturing,NA,NA,NA,The Ghost
China,Y,N,Y,Retail,2003,Chairman,33,The Hustler
India,Y,Y,N,Finance,NA,NA,NA,The Hustler
India,Y,N,N,Energy,NA,NA,NA,The Ghost
United States,Y,N,N,Software,2006,NA,30,The Consistent
United States,Y,Y,N,Technology,2002,NA,27,The Hustler
Russia,Y,N,N,Finance,NA,NA,NA,The Ghost
India,Y,N,N,Energy,NA,NA,NA,The Ghost
Hong Kong,N,N,N,Real Estate,1996,Relation,6,The Hustler
Russia,Y,Y,N,Agriculture,NA,Founder,NA,The Hustler
China,Y,Y,N,Manufacturing,1997,NA,34,The Hustler
United States,Y,Y,N,Service,NA,NA,NA,The Ghost
China,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost
Hong Kong,Y,N,N,Media,NA,NA,NA,The Ghost
United States,Y,N,N,Manufacturing,1950,NA,25,The Consistent
Indonesia,N,N,N,Fashion and Retail,1950,Founder,24,The Consistent
Egypt,Y,N,N,Construction and Engineering,1950,NA,21,The Consistent
Philippines,Y,N,N,Real Estate,1955,Founder,28,The Hustler
United States,N,Y,N,Automotive,NA,NA,NA,The Hustler
United States,N,Y,N,Retail,NA,NA,NA,The Consistent
United States,N,Y,N,Media,1962,NA,26,The Consistent
Philippines,Y,Y,N,Food and Beverage,NA,NA,NA,The Hustler
United States,N,Y,N,Retail,NA,NA,NA,The Consistent
Canada,Y,N,N,Media,1971,Founder,38,The Hustler
United States,N,Y,N,Investments,NA,Relation,NA,The Hustler
Indonesia,Y,N,N,Manufacturing,NA,NA,NA,The Hustler
Germany,N,N,N,Media,1948,NA,9,The Consistent
India,Y,N,N,Manufacturing,1987,Founder,51,The Hustler
Australia,Y,N,N,Construction and Engineering,1960,Founder,24,The Hustler
United States,Y,N,N,Automotive,NA,NA,NA,The Ghost
United States,Y,N,N,Technology,NA,NA,NA,The Consistent
France,N,N,N,Construction and Engineering,1853,Relation,-86,The Hustler
Italy,Y,N,N,Automotive,1961,NA,21,The Consistent
Spain,Y,N,N,Investments,1952,NA,9,The Consistent
United States,Y,Y,N,Finance,1974,Founder,32,The Consistent
Mexico,Y,N,N,Finance,1884,NA,-60,The Consistent
Australia,Y,N,N,Retail,NA,NA,NA,The Ghost
United States,N,N,N,Energy,1974,Founder,39,The Ghost
South Korea,Y,N,N,Retail,NA,NA,NA,The Hustler
Australia,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,Y,Y,Y,Media,NA,NA,NA,The Ghost
Indonesia,N,N,N,Retail,1951,Founder,10,The Ghost
Japan,N,N,Y,Food and Beverage,1899,NA,-47,The Hustler
Australia,Y,N,N,Real Estate,NA,Founder,NA,The Hustler
United Kingdom,N,N,N,Food and Beverage,1887,NA,-57,The Hustler
Canada,Y,Y,N,Real Estate,1975,CEO/Chairman,28,The Consistent
Japan,Y,Y,N,Gaming,NA,NA,NA,The Hustler
United States,Y,Y,N,Fashion and Retail,1970,NA,23,The Consistent
India,Y,Y,N,Real Estate,NA,NA,NA,The Hustler
Brazil,Y,N,N,Fashion and Retail,1977,NA,28,The Consistent
China,Y,N,N,Food and Beverage,1989,Founder,40,The Hustler
United States,N,N,N,Agriculture,NA,NA,NA,The Hustler
Russia,Y,Y,N,Investments,1994,NA,45,The Consistent
Iceland,Y,Y,N,Finance,NA,NA,NA,The Ghost
Australia,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Indonesia,Y,N,N,Metals and Mining,1973,Founder,25,The Consistent
Turkey,Y,N,N,Diversified,NA,NA,NA,The Ghost
Japan,N,N,N,Construction and Engineering,1610,Relation,-333,The Ghost
Turkey,N,N,Y,Food and Beverage,NA,NA,NA,The Ghost
United States,N,Y,N,Investments,2001,NA,48,The Consistent
Taiwan,N,N,N,Food and Beverage,NA,Founder,NA,The Consistent
Turkey,N,N,N,Retail,1944,NA,-7,The Hustler
China,Y,N,N,Technology,1990,Founder,36,The Consistent
Oman,Y,N,N,Energy,1982,Founder,31,The Hustler
Malaysia,Y,N,N,Diversified,1985,Founder,34,The Hustler
India,Y,N,N,Software,NA,NA,NA,The Consistent
Singapore,N,N,N,Real Estate,1947,Relation,-8,The Consistent
United States,Y,Y,N,Retail,NA,NA,NA,The Consistent
Taiwan,N,N,N,Food and Beverage,NA,Founder,NA,The Consistent
United States,N,N,N,Service,NA,NA,NA,The Ghost
Israel,Y,N,N,Metals and Mining,1934,Founder,-22,The Consistent
China,Y,N,N,Real Estate,1992,NA,37,The Consistent
Russia,Y,N,N,Metals and Mining,NA,NA,NA,The Hustler
United States,Y,N,N,Agriculture,NA,NA,NA,The Ghost
South Korea,N,Y,Y,Diversified,NA,NA,NA,The Ghost
Italy,Y,N,N,Fashion and Retail,1987,Founder,29,The Consistent
Turkey,N,N,Y,Construction and Engineering,1957,NA,-2,The Consistent
China,Y,N,N,Retail,NA,NA,NA,The Ghost
United States,N,N,N,Agriculture,NA,NA,NA,The Hustler
Russia,Y,N,N,Energy,NA,Founder,NA,The Hustler
Russia,Y,Y,N,Diversified,2004,NA,47,The Hustler
United States,Y,N,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,Y,N,Finance,NA,NA,NA,The Hustler
India,Y,Y,N,Energy,1998,Founder,38,The Hustler
Russia,Y,Y,N,Energy,1989,Supervisory Board Or Directors,28,The Consistent
United States,Y,Y,N,Finance,1992,NA,34,The Hustler
Hong Kong,Y,Y,N,Automotive,NA,NA,NA,The Hustler
Nigeria,N,N,N,Retail,NA,NA,NA,The Consistent
Italy,Y,Y,N,Fashion and Retail,1987,Founder,25,The Consistent
Russia,Y,Y,N,Health care,NA,NA,NA,The Hustler
Ukraine,Y,Y,N,Finance,NA,Founder,NA,The Hustler
Germany,N,N,N,Media,1948,Relation,-16,The Consistent
Nigeria,Y,N,N,Service,NA,NA,NA,The Hustler
China,Y,N,Y,Health care,NA,NA,NA,The Ghost
Malaysia,N,Y,N,Energy,1975,Founder,14,The Hustler
United States,Y,Y,N,Technology,NA,NA,NA,The Ghost
Czech Republic,Y,Y,Y,Metals and Mining,1994,Founder,34,The Hustler
Russia,Y,Y,Y,Diversified,NA,NA,NA,The Hustler
Finland,N,N,N,Manufacturing,NA,Relation,NA,The Consistent
China,Y,Y,N,Health care,NA,NA,NA,The Hustler
South Africa,Y,Y,N,Health care,1997,Founder,33,The Consistent
Russia,Y,Y,N,Construction and Engineering,NA,NA,NA,The Consistent
United States,Y,Y,Y,Software,2007,Founder,42,The Hustler
China,Y,Y,N,Service,1993,Founder,28,The Consistent
China,Y,N,N,Health care,1999,Chairman,33,The Hustler
Greece,N,N,N,Logistics,NA,NA,NA,The Ghost
China,Y,Y,Y,Energy,NA,NA,NA,The Ghost
Italy,Y,Y,N,Telecom,1999,Founder,41,The Ghost
China,Y,N,N,Retail,NA,NA,NA,The Hustler
Russia,Y,N,N,Telecom,NA,Founder,NA,The Consistent
South Korea,Y,Y,N,Gaming,NA,NA,NA,The Consistent
Russia,Y,N,N,Finance,1990,Founder,23,The Hustler
Russia,Y,Y,N,Manufacturing,1999,Founder,35,The Hustler
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost
China,Y,Y,N,Manufacturing,NA,NA,NA,The Ghost
Ukraine,Y,Y,N,Food and Beverage,1998,NA,30,The Consistent
China,Y,N,N,Automotive,2004,Founder,35,The Consistent
India,Y,N,N,Energy,NA,NA,NA,The Ghost
Russia,Y,Y,N,Health care,NA,NA,NA,The Hustler
China,Y,N,N,Telecom,1995,Chairman,22,The Consistent
Turkey,N,N,N,Diversified,NA,NA,NA,The Ghost
Switzerland,Y,N,Y,Finance,NA,NA,NA,The Consistent
Israel,N,N,N,Metals and Mining,1996,Founder,23,The Consistent
Ukraine,Y,Y,N,Metals and Mining,1960,CEO,-14,The Hustler
China,Y,Y,N,Gaming,1999,Founder,27,The Hustler
China,Y,N,N,Retail,NA,NA,NA,The Ghost
Russia,Y,Y,N,Energy,NA,Chairman,NA,The Hustler
Russia,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Norway,Y,N,N,Logistics,1959,Founder,28,The Hustler
Brazil,N,N,N,Service,NA,NA,NA,The Ghost
Malaysia,Y,N,N,Real Estate,1990,NA,35,The Hustler
Russia,Y,Y,N,Real Estate,1991,Founder,23,The Hustler
China,Y,Y,Y,Software,2005,Founder,35,The Hustler
China,Y,N,N,Retail,1999,CEO,NA,The Hustler
Australia,Y,N,N,Gaming,1953,Founder,30,The Consistent
Brazil,N,N,N,Energy,NA,Relation,NA,The Consistent
Japan,N,N,N,Medicine,1912,Relation,-16,The Hustler
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost
India,N,Y,N,Diversified,NA,NA,NA,The Ghost
Brazil,Y,N,N,Metals and Mining,1966,Founder,39,The Hustler
Hong Kong,N,N,N,Retail,1888,Relation,-42,The Consistent
Indonesia,Y,N,N,Metals and Mining,1996,Founder,69,The Hustler
United States,Y,Y,N,Finance,NA,Founder,NA,The Hustler
United States,N,N,N,Retail,NA,NA,NA,The Hustler
Turkey,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost
Australia,N,N,N,Retail,1918,Relation,-14,The Hustler
Hong Kong,Y,Y,N,Real Estate,1972,NA,37,The Hustler
United Kingdom,N,N,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,Y,Y,Finance,1969,Founder,33,The Consistent
